market_id,name,stripe_customer_id,stripe_account_id,balanced_customer_uri,balanced_customer_id,balanced_underwritten,entity_name,entity_type,entity_id
82,SFC Farm Direct,cus_5vT7BncXZZQVBa,,/v1/customers/CUKE9ccjN2Qc93eUcgmgCJF,CUKE9ccjN2Qc93eUcgmgCJF,false,Sustainable Food Center,market,82
68,Nashville Grown,cus_5uQ4CkRCiAoS4b,acct_15jsfBJ6lStDVKM4,/v1/customers/CU4TBrELugVtRZp6n1n2dYVN,CU4TBrELugVtRZp6n1n2dYVN,true,Nashville Grown,market,68
48,Green Bay Market,cus_5uQ5WN5VVv7wFy,,/v1/customers/CU4lMNzcyFfhcThetSk4gRou,CU4lMNzcyFfhcThetSk4gRou,false,Greenbay,market,48
78,z_Micahs Test Market,cus_5uQ6rFCJlmM6Qt,,/v1/customers/CUS5II508AkFOe3WyVMO1tg,CUS5II508AkFOe3WyVMO1tg,false,Micahs Test Market,market,78
27,Rooted in Appalachia,cus_5uQ56kdn8UOf4T,acct_15l1ySEhQqTJw3Zm,/v1/customers/CU58fSpgA5BBNhiAiM8OJAf1,CU58fSpgA5BBNhiAiM8OJAf1,false,Rooted in Appalachia,market,27
91,SFC TEST Market,cus_677tiMmc6CSts5,,/v1/customers/CU3Z3KzCYrAplExnjbcNMeP8,CU3Z3KzCYrAplExnjbcNMeP8,false,SFCtest Market,market,91
62,Agricultural Connections,cus_5uQ4cUF14Jaew3,,/v1/customers/CU10gHtd7sdW44VPeoa4gYNV,CU10gHtd7sdW44VPeoa4gYNV,false,Agricultural Connections,market,62
81,Local Pumpkin,cus_5uQ5Fwv38V5EXw,acct_15l1ySDQWLWduI2u,/v1/customers/CU3dLo2sRUutvVFNxKWZCcm6,CU3dLo2sRUutvVFNxKWZCcm6,false,Local Pumpkin,market,81
63,North Valley Food Hub CSUC Associated Students,cus_5uQ4fMPk5DdGp5,,/v1/customers/CU2yrNDWmZhYOYE29I5TByC6,CU2yrNDWmZhYOYE29I5TByC6,false,North Valley Food Hub CSUC Associated Students,market,63
79,Admin,cus_5uQ5cICEo4tlhu,,/v1/customers/CU2UfJeiBPPAhv9YnZxipFc3,CU2UfJeiBPPAhv9YnZxipFc3,false,Fresh Start Admin,market,79
80,Squash Blossom,cus_5uQ5DcaCnBkQPl,,/v1/customers/CU6ytH2iPueI1QFvrgRNi5cH,CU6ytH2iPueI1QFvrgRNi5cH,false,SFFM Online,market,80
77,Fresh Start Farms,cus_5uQ52KQQVKZpTB,,/v1/customers/CU6M7LICeLFyPljR1kfdZVxt,CU6M7LICeLFyPljR1kfdZVxt,false,Cultivating Community,market,77
9,North Valley Food Hub,cus_5vQvE7rZmphokO,acct_15l1yUHk3obTskNe,/v1/customers/CUEVBxX3HzF1bEGbXur9oUG,CUEVBxX3HzF1bEGbXur9oUG,true,North Valley Food Hub,market,9
